Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS240.npy
Trial 143 Fit 19.00 Steps 20 
Trial 144 Fit 1000.00 Steps 1000 
Trial 145 Fit 14.00 Steps 15 
Trial 146 Fit 1000.00 Steps 1000 
Trial 147 Fit 1000.00 Steps 1000 
Trial 148 Fit 1000.00 Steps 1000 
Trial 149 Fit 39.00 Steps 40 
Trial 150 Fit 1000.00 Steps 1000 
Trial 151 Fit 1000.00 Steps 1000 
Trial 152 Fit 20.00 Steps 21 
Trial 153 Fit 32.00 Steps 33 
Trial 154 Fit 70.00 Steps 71 
Trial 155 Fit 19.00 Steps 20 
Trial 156 Fit 1000.00 Steps 1000 
Trial 157 Fit 1000.00 Steps 1000 
Trial 158 Fit 22.00 Steps 23 
Trial 159 Fit 1000.00 Steps 1000 
Trial 160 Fit 1000.00 Steps 1000 
Trial 161 Fit 19.00 Steps 20 
Trial 162 Fit 17.00 Steps 18 
Trial 163 Fit 1000.00 Steps 1000 
Trial 164 Fit 36.00 Steps 37 
Trial 165 Fit 57.00 Steps 58 
Trial 166 Fit 1000.00 Steps 1000 
Trial 167 Fit 1000.00 Steps 1000 
Trial 168 Fit 21.00 Steps 22 
Trial 169 Fit 19.00 Steps 20 
Trial 170 Fit 1000.00 Steps 1000 
Trial 171 Fit 1000.00 Steps 1000 
Trial 172 Fit 1000.00 Steps 1000 
Trial 173 Fit 110.00 Steps 111 
Trial 174 Fit 1000.00 Steps 1000 
Trial 175 Fit 1000.00 Steps 1000 
Trial 176 Fit 14.00 Steps 15 
Trial 177 Fit 1000.00 Steps 1000 
Trial 178 Fit 21.00 Steps 22 
Trial 179 Fit 1000.00 Steps 1000 
Trial 180 Fit 23.00 Steps 24 
Trial 181 Fit 16.00 Steps 17 
Trial 182 Fit 17.00 Steps 18 
Trial 183 Fit 21.00 Steps 22 
Trial 184 Fit 20.00 Steps 21 
Trial 185 Fit 19.00 Steps 20 
Trial 186 Fit 43.00 Steps 44 
Trial 187 Fit 1000.00 Steps 1000 
Trial 188 Fit 1000.00 Steps 1000 
Trial 189 Fit 62.00 Steps 63 
Trial 190 Fit 1000.00 Steps 1000 
Trial 191 Fit 1000.00 Steps 1000 
Trial 192 Fit 1000.00 Steps 1000 
Trial 193 Fit 76.00 Steps 77 
Trial 194 Fit 1000.00 Steps 1000 
Trial 195 Fit 1000.00 Steps 1000 
Trial 196 Fit 1000.00 Steps 1000 
Trial 197 Fit 18.00 Steps 19 
Trial 198 Fit 1000.00 Steps 1000 
Trial 199 Fit 19.00 Steps 20 
Trial 200 Fit 75.00 Steps 76 
Trial 201 Fit 17.00 Steps 18 
Trial 202 Fit 43.00 Steps 44 
Trial 203 Fit 19.00 Steps 20 
Trial 204 Fit 30.00 Steps 31 
Trial 205 Fit 165.00 Steps 166 
Trial 206 Fit 17.00 Steps 18 
Trial 207 Fit 1000.00 Steps 1000 
Trial 208 Fit 56.00 Steps 57 
Trial 209 Fit 43.00 Steps 44 
Trial 210 Fit 39.00 Steps 40 
Trial 211 Fit 21.00 Steps 22 
Trial 212 Fit 29.00 Steps 30 
Trial 213 Fit 21.00 Steps 22 
Trial 214 Fit 49.00 Steps 50 
Trial 215 Fit 260.00 Steps 261 
Trial 216 Fit 1000.00 Steps 1000 
Trial 217 Fit 17.00 Steps 18 
Trial 218 Fit 37.00 Steps 38 
Trial 219 Fit 1000.00 Steps 1000 
Trial 220 Fit 24.00 Steps 25 
Trial 221 Fit 1000.00 Steps 1000 
Trial 222 Fit 38.00 Steps 39 
Trial 223 Fit 1000.00 Steps 1000 
Trial 224 Fit 28.00 Steps 29 
Trial 225 Fit 1000.00 Steps 1000 
Trial 226 Fit 1000.00 Steps 1000 
Trial 227 Fit 461.00 Steps 462 
Trial 228 Fit 17.00 Steps 18 
Trial 229 Fit 25.00 Steps 26 
Trial 230 Fit 1000.00 Steps 1000 
Trial 231 Fit 1000.00 Steps 1000 
Trial 232 Fit 20.00 Steps 21 
Trial 233 Fit 1000.00 Steps 1000 
Trial 234 Fit 489.00 Steps 490 
Trial 235 Fit 20.00 Steps 21 
Trial 236 Fit 18.00 Steps 19 
Trial 237 Fit 127.00 Steps 128 
Trial 238 Fit 1000.00 Steps 1000 
Trial 239 Fit 16.00 Steps 17 
