Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 100 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS110.npy
Trial 0 Fit 17.00 Steps 18 
Trial 1 Fit 86.00 Steps 87 
Trial 2 Fit 18.00 Steps 19 
Trial 3 Fit 80.00 Steps 81 
Trial 4 Fit 68.00 Steps 69 
Trial 5 Fit 68.00 Steps 69 
Trial 6 Fit 22.00 Steps 23 
Trial 7 Fit 41.00 Steps 42 
Trial 8 Fit 57.00 Steps 58 
Trial 9 Fit 31.00 Steps 32 
Trial 10 Fit 20.00 Steps 21 
Trial 11 Fit 16.00 Steps 17 
Trial 12 Fit 64.00 Steps 65 
Trial 13 Fit 79.00 Steps 80 
Trial 14 Fit 84.00 Steps 85 
Trial 15 Fit 16.00 Steps 17 
Trial 16 Fit 83.00 Steps 84 
Trial 17 Fit 59.00 Steps 60 
Trial 18 Fit 101.00 Steps 102 
Trial 19 Fit 45.00 Steps 46 
Trial 20 Fit 73.00 Steps 74 
Trial 21 Fit 64.00 Steps 65 
Trial 22 Fit 54.00 Steps 55 
Trial 23 Fit 35.00 Steps 36 
Trial 24 Fit 89.00 Steps 90 
Trial 25 Fit 69.00 Steps 70 
Trial 26 Fit 58.00 Steps 59 
Trial 27 Fit 58.00 Steps 59 
Trial 28 Fit 19.00 Steps 20 
Trial 29 Fit 62.00 Steps 63 
Trial 30 Fit 56.00 Steps 57 
Trial 31 Fit 81.00 Steps 82 
Trial 32 Fit 70.00 Steps 71 
Trial 33 Fit 61.00 Steps 62 
Trial 34 Fit 21.00 Steps 22 
Trial 35 Fit 32.00 Steps 33 
Trial 36 Fit 60.00 Steps 61 
Trial 37 Fit 89.00 Steps 90 
Trial 38 Fit 69.00 Steps 70 
Trial 39 Fit 87.00 Steps 88 
Trial 40 Fit 67.00 Steps 68 
Trial 41 Fit 69.00 Steps 70 
Trial 42 Fit 37.00 Steps 38 
Trial 43 Fit 63.00 Steps 64 
Trial 44 Fit 18.00 Steps 19 
Trial 45 Fit 56.00 Steps 57 
Trial 46 Fit 81.00 Steps 82 
Trial 47 Fit 70.00 Steps 71 
Trial 48 Fit 77.00 Steps 78 
Trial 49 Fit 64.00 Steps 65 
Trial 50 Fit 19.00 Steps 20 
Trial 51 Fit 24.00 Steps 25 
Trial 52 Fit 29.00 Steps 30 
Trial 53 Fit 79.00 Steps 80 
Trial 54 Fit 17.00 Steps 18 
Trial 55 Fit 66.00 Steps 67 
Trial 56 Fit 19.00 Steps 20 
Trial 57 Fit 17.00 Steps 18 
Trial 58 Fit 51.00 Steps 52 
Trial 59 Fit 45.00 Steps 46 
Trial 60 Fit 54.00 Steps 55 
Trial 61 Fit 87.00 Steps 88 
Trial 62 Fit 53.00 Steps 54 
Trial 63 Fit 15.00 Steps 16 
Trial 64 Fit 90.00 Steps 91 
Trial 65 Fit 18.00 Steps 19 
Trial 66 Fit 86.00 Steps 87 
Trial 67 Fit 63.00 Steps 64 
Trial 68 Fit 83.00 Steps 84 
Trial 69 Fit 50.00 Steps 51 
Trial 70 Fit 114.00 Steps 115 
Trial 71 Fit 51.00 Steps 52 
Trial 72 Fit 19.00 Steps 20 
Trial 73 Fit 44.00 Steps 45 
Trial 74 Fit 18.00 Steps 19 
Trial 75 Fit 48.00 Steps 49 
Trial 76 Fit 70.00 Steps 71 
Trial 77 Fit 52.00 Steps 53 
Trial 78 Fit 71.00 Steps 72 
Trial 79 Fit 73.00 Steps 74 
Trial 80 Fit 59.00 Steps 60 
Trial 81 Fit 60.00 Steps 61 
Trial 82 Fit 64.00 Steps 65 
Trial 83 Fit 59.00 Steps 60 
Trial 84 Fit 18.00 Steps 19 
Trial 85 Fit 17.00 Steps 18 
Trial 86 Fit 60.00 Steps 61 
Trial 87 Fit 108.00 Steps 109 
Trial 88 Fit 53.00 Steps 54 
Trial 89 Fit 18.00 Steps 19 
Trial 90 Fit 25.00 Steps 26 
Trial 91 Fit 66.00 Steps 67 
Trial 92 Fit 94.00 Steps 95 
Trial 93 Fit 79.00 Steps 80 
Trial 94 Fit 19.00 Steps 20 
Trial 95 Fit 16.00 Steps 17 
Trial 96 Fit 21.00 Steps 22 
Trial 97 Fit 48.00 Steps 49 
Trial 98 Fit 38.00 Steps 39 
Trial 99 Fit 79.00 Steps 80 
Average Fit 53.90 Steps 54.90 
Postevauation: Average Fitness 53.90 Total Steps 5490
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Network 3->10->4 feedforward with bias linear output:tanh init:xavier 
