Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 100 MaxSteps 1000
Run Test: Environment ErDpole testfile bestS118.npy
Trial 0 Fit 16.00 Steps 17 
Trial 1 Fit 105.00 Steps 106 
Trial 2 Fit 18.00 Steps 19 
Trial 3 Fit 60.00 Steps 61 
Trial 4 Fit 60.00 Steps 61 
Trial 5 Fit 92.00 Steps 93 
Trial 6 Fit 18.00 Steps 19 
Trial 7 Fit 37.00 Steps 38 
Trial 8 Fit 67.00 Steps 68 
Trial 9 Fit 31.00 Steps 32 
Trial 10 Fit 23.00 Steps 24 
Trial 11 Fit 16.00 Steps 17 
Trial 12 Fit 58.00 Steps 59 
Trial 13 Fit 64.00 Steps 65 
Trial 14 Fit 80.00 Steps 81 
Trial 15 Fit 16.00 Steps 17 
Trial 16 Fit 108.00 Steps 109 
Trial 17 Fit 62.00 Steps 63 
Trial 18 Fit 201.00 Steps 202 
Trial 19 Fit 67.00 Steps 68 
Trial 20 Fit 63.00 Steps 64 
Trial 21 Fit 65.00 Steps 66 
Trial 22 Fit 54.00 Steps 55 
Trial 23 Fit 37.00 Steps 38 
Trial 24 Fit 92.00 Steps 93 
Trial 25 Fit 65.00 Steps 66 
Trial 26 Fit 117.00 Steps 118 
Trial 27 Fit 56.00 Steps 57 
Trial 28 Fit 20.00 Steps 21 
Trial 29 Fit 60.00 Steps 61 
Trial 30 Fit 56.00 Steps 57 
Trial 31 Fit 88.00 Steps 89 
Trial 32 Fit 69.00 Steps 70 
Trial 33 Fit 56.00 Steps 57 
Trial 34 Fit 18.00 Steps 19 
Trial 35 Fit 22.00 Steps 23 
Trial 36 Fit 54.00 Steps 55 
Trial 37 Fit 65.00 Steps 66 
Trial 38 Fit 88.00 Steps 89 
Trial 39 Fit 79.00 Steps 80 
Trial 40 Fit 65.00 Steps 66 
Trial 41 Fit 60.00 Steps 61 
Trial 42 Fit 37.00 Steps 38 
Trial 43 Fit 63.00 Steps 64 
Trial 44 Fit 17.00 Steps 18 
Trial 45 Fit 49.00 Steps 50 
Trial 46 Fit 72.00 Steps 73 
Trial 47 Fit 39.00 Steps 40 
Trial 48 Fit 76.00 Steps 77 
Trial 49 Fit 47.00 Steps 48 
Trial 50 Fit 21.00 Steps 22 
Trial 51 Fit 24.00 Steps 25 
Trial 52 Fit 46.00 Steps 47 
Trial 53 Fit 75.00 Steps 76 
Trial 54 Fit 18.00 Steps 19 
Trial 55 Fit 46.00 Steps 47 
Trial 56 Fit 17.00 Steps 18 
Trial 57 Fit 17.00 Steps 18 
Trial 58 Fit 20.00 Steps 21 
Trial 59 Fit 24.00 Steps 25 
Trial 60 Fit 59.00 Steps 60 
Trial 61 Fit 66.00 Steps 67 
Trial 62 Fit 45.00 Steps 46 
Trial 63 Fit 15.00 Steps 16 
Trial 64 Fit 65.00 Steps 66 
Trial 65 Fit 15.00 Steps 16 
Trial 66 Fit 70.00 Steps 71 
Trial 67 Fit 59.00 Steps 60 
Trial 68 Fit 64.00 Steps 65 
Trial 69 Fit 88.00 Steps 89 
Trial 70 Fit 81.00 Steps 82 
Trial 71 Fit 45.00 Steps 46 
Trial 72 Fit 17.00 Steps 18 
Trial 73 Fit 42.00 Steps 43 
Trial 74 Fit 20.00 Steps 21 
Trial 75 Fit 54.00 Steps 55 
Trial 76 Fit 60.00 Steps 61 
Trial 77 Fit 61.00 Steps 62 
Trial 78 Fit 70.00 Steps 71 
Trial 79 Fit 105.00 Steps 106 
Trial 80 Fit 65.00 Steps 66 
Trial 81 Fit 79.00 Steps 80 
Trial 82 Fit 21.00 Steps 22 
Trial 83 Fit 85.00 Steps 86 
Trial 84 Fit 16.00 Steps 17 
Trial 85 Fit 17.00 Steps 18 
Trial 86 Fit 78.00 Steps 79 
Trial 87 Fit 95.00 Steps 96 
Trial 88 Fit 56.00 Steps 57 
Trial 89 Fit 17.00 Steps 18 
Trial 90 Fit 22.00 Steps 23 
Trial 91 Fit 81.00 Steps 82 
Trial 92 Fit 71.00 Steps 72 
Trial 93 Fit 133.00 Steps 134 
Trial 94 Fit 17.00 Steps 18 
Trial 95 Fit 16.00 Steps 17 
Trial 96 Fit 23.00 Steps 24 
Trial 97 Fit 27.00 Steps 28 
Trial 98 Fit 37.00 Steps 38 
Trial 99 Fit 102.00 Steps 103 
Average Fit 54.15 Steps 55.15 
Postevauation: Average Fitness 54.15 Total Steps 5515
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Network 3->18->4 feedforward with bias linear output:tanh init:xavier 
