Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestS240.npy
Trial 0 Fit 18.00 Steps 19 
Trial 1 Fit 1000.00 Steps 1000 
Trial 2 Fit 18.00 Steps 19 
Trial 3 Fit 31.00 Steps 32 
Trial 4 Fit 36.00 Steps 37 
Trial 5 Fit 44.00 Steps 45 
Trial 6 Fit 16.00 Steps 17 
Trial 7 Fit 38.00 Steps 39 
Trial 8 Fit 280.00 Steps 281 
Trial 9 Fit 26.00 Steps 27 
Trial 10 Fit 19.00 Steps 20 
Trial 11 Fit 20.00 Steps 21 
Trial 12 Fit 31.00 Steps 32 
Trial 13 Fit 239.00 Steps 240 
Trial 14 Fit 61.00 Steps 62 
Trial 15 Fit 22.00 Steps 23 
Trial 16 Fit 1000.00 Steps 1000 
Trial 17 Fit 59.00 Steps 60 
Trial 18 Fit 1000.00 Steps 1000 
Trial 19 Fit 38.00 Steps 39 
Trial 20 Fit 1000.00 Steps 1000 
Trial 21 Fit 1000.00 Steps 1000 
Trial 22 Fit 51.00 Steps 52 
Trial 23 Fit 15.00 Steps 16 
Trial 24 Fit 1000.00 Steps 1000 
Trial 25 Fit 245.00 Steps 246 
Trial 26 Fit 257.00 Steps 258 
Trial 27 Fit 1000.00 Steps 1000 
Trial 28 Fit 16.00 Steps 17 
Trial 29 Fit 29.00 Steps 30 
Trial 30 Fit 95.00 Steps 96 
Trial 31 Fit 162.00 Steps 163 
Trial 32 Fit 193.00 Steps 194 
Trial 33 Fit 1000.00 Steps 1000 
Trial 34 Fit 17.00 Steps 18 
Trial 35 Fit 17.00 Steps 18 
Trial 36 Fit 249.00 Steps 250 
Trial 37 Fit 1000.00 Steps 1000 
Trial 38 Fit 245.00 Steps 246 
Trial 39 Fit 145.00 Steps 146 
Trial 40 Fit 45.00 Steps 46 
Trial 41 Fit 1000.00 Steps 1000 
Trial 42 Fit 40.00 Steps 41 
Trial 43 Fit 331.00 Steps 332 
Trial 44 Fit 12.00 Steps 13 
Trial 45 Fit 1000.00 Steps 1000 
Trial 46 Fit 181.00 Steps 182 
Trial 47 Fit 36.00 Steps 37 
Trial 48 Fit 329.00 Steps 330 
Trial 49 Fit 236.00 Steps 237 
Trial 50 Fit 16.00 Steps 17 
Trial 51 Fit 16.00 Steps 17 
Trial 52 Fit 43.00 Steps 44 
Trial 53 Fit 1000.00 Steps 1000 
Trial 54 Fit 16.00 Steps 17 
Trial 55 Fit 20.00 Steps 21 
Trial 56 Fit 16.00 Steps 17 
Trial 57 Fit 18.00 Steps 19 
Trial 58 Fit 18.00 Steps 19 
Trial 59 Fit 117.00 Steps 118 
Trial 60 Fit 41.00 Steps 42 
Trial 61 Fit 1000.00 Steps 1000 
Trial 62 Fit 18.00 Steps 19 
Trial 63 Fit 16.00 Steps 17 
Trial 64 Fit 187.00 Steps 188 
Trial 65 Fit 18.00 Steps 19 
Trial 66 Fit 1000.00 Steps 1000 
Trial 67 Fit 75.00 Steps 76 
Trial 68 Fit 341.00 Steps 342 
Trial 69 Fit 385.00 Steps 386 
Trial 70 Fit 1000.00 Steps 1000 
Trial 71 Fit 45.00 Steps 46 
Trial 72 Fit 17.00 Steps 18 
Trial 73 Fit 36.00 Steps 37 
Trial 74 Fit 19.00 Steps 20 
Trial 75 Fit 45.00 Steps 46 
Trial 76 Fit 40.00 Steps 41 
Trial 77 Fit 1000.00 Steps 1000 
Trial 78 Fit 1000.00 Steps 1000 
Trial 79 Fit 1000.00 Steps 1000 
Trial 80 Fit 1000.00 Steps 1000 
Trial 81 Fit 1000.00 Steps 1000 
Trial 82 Fit 13.00 Steps 14 
Trial 83 Fit 1000.00 Steps 1000 
Trial 84 Fit 19.00 Steps 20 
Trial 85 Fit 23.00 Steps 24 
Trial 86 Fit 250.00 Steps 251 
Trial 87 Fit 1000.00 Steps 1000 
Trial 88 Fit 1000.00 Steps 1000 
Trial 89 Fit 17.00 Steps 18 
Trial 90 Fit 19.00 Steps 20 
Trial 91 Fit 1000.00 Steps 1000 
Trial 92 Fit 1000.00 Steps 1000 
Trial 93 Fit 1000.00 Steps 1000 
Trial 94 Fit 18.00 Steps 19 
Trial 95 Fit 17.00 Steps 18 
Trial 96 Fit 49.00 Steps 50 
Trial 97 Fit 114.00 Steps 115 
Trial 98 Fit 20.00 Steps 21 
Trial 99 Fit 1000.00 Steps 1000 
Trial 100 Fit 1000.00 Steps 1000 
Trial 101 Fit 1000.00 Steps 1000 
Trial 102 Fit 1000.00 Steps 1000 
Trial 103 Fit 21.00 Steps 22 
Trial 104 Fit 15.00 Steps 16 
Trial 105 Fit 49.00 Steps 50 
Trial 106 Fit 21.00 Steps 22 
Trial 107 Fit 1000.00 Steps 1000 
Trial 108 Fit 22.00 Steps 23 
Trial 109 Fit 17.00 Steps 18 
Trial 110 Fit 24.00 Steps 25 
Trial 111 Fit 25.00 Steps 26 
Trial 112 Fit 18.00 Steps 19 
Trial 113 Fit 11.00 Steps 12 
Trial 114 Fit 211.00 Steps 212 
Trial 115 Fit 1000.00 Steps 1000 
Trial 116 Fit 1000.00 Steps 1000 
Trial 117 Fit 36.00 Steps 37 
Trial 118 Fit 16.00 Steps 17 
Trial 119 Fit 45.00 Steps 46 
Trial 120 Fit 224.00 Steps 225 
Trial 121 Fit 1000.00 Steps 1000 
Trial 122 Fit 23.00 Steps 24 
Trial 123 Fit 19.00 Steps 20 
Trial 124 Fit 36.00 Steps 37 
Trial 125 Fit 1000.00 Steps 1000 
Trial 126 Fit 23.00 Steps 24 
Trial 127 Fit 42.00 Steps 43 
Trial 128 Fit 15.00 Steps 16 
Trial 129 Fit 399.00 Steps 400 
Trial 130 Fit 1000.00 Steps 1000 
Trial 131 Fit 52.00 Steps 53 
Trial 132 Fit 17.00 Steps 18 
Trial 133 Fit 15.00 Steps 16 
Trial 134 Fit 93.00 Steps 94 
Trial 135 Fit 38.00 Steps 39 
Trial 136 Fit 19.00 Steps 20 
Trial 137 Fit 16.00 Steps 17 
Trial 138 Fit 223.00 Steps 224 
Trial 139 Fit 36.00 Steps 37 
Trial 140 Fit 212.00 Steps 213 
Trial 141 Fit 44.00 Steps 45 
Trial 142 Fit 19.00 Steps 20 
Trial 143 Fit 19.00 Steps 20 
Trial 144 Fit 35.00 Steps 36 
Trial 145 Fit 40.00 Steps 41 
Trial 146 Fit 1000.00 Steps 1000 
Trial 147 Fit 1000.00 Steps 1000 
Trial 148 Fit 1000.00 Steps 1000 
Trial 149 Fit 40.00 Steps 41 
Trial 150 Fit 74.00 Steps 75 
Trial 151 Fit 360.00 Steps 361 
Trial 152 Fit 20.00 Steps 21 
Trial 153 Fit 32.00 Steps 33 
Trial 154 Fit 41.00 Steps 42 
Trial 155 Fit 20.00 Steps 21 
Trial 156 Fit 34.00 Steps 35 
Trial 157 Fit 151.00 Steps 152 
Trial 158 Fit 21.00 Steps 22 
Trial 159 Fit 1000.00 Steps 1000 
Trial 160 Fit 227.00 Steps 228 
Trial 161 Fit 16.00 Steps 17 
Trial 162 Fit 19.00 Steps 20 
Trial 163 Fit 1000.00 Steps 1000 
Trial 164 Fit 41.00 Steps 42 
Trial 165 Fit 65.00 Steps 66 
Trial 166 Fit 38.00 Steps 39 
Trial 167 Fit 138.00 Steps 139 
Trial 168 Fit 18.00 Steps 19 
Trial 169 Fit 19.00 Steps 20 
Trial 170 Fit 1000.00 Steps 1000 
Trial 171 Fit 1000.00 Steps 1000 
Trial 172 Fit 1000.00 Steps 1000 
