Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS230.npy
Trial 144 Fit 38.00 Steps 39 
Trial 145 Fit 14.00 Steps 15 
Trial 146 Fit 1000.00 Steps 1000 
Trial 147 Fit 1000.00 Steps 1000 
Trial 148 Fit 1000.00 Steps 1000 
Trial 149 Fit 39.00 Steps 40 
Trial 150 Fit 37.00 Steps 38 
Trial 151 Fit 115.00 Steps 116 
Trial 152 Fit 13.00 Steps 14 
Trial 153 Fit 31.00 Steps 32 
Trial 154 Fit 36.00 Steps 37 
Trial 155 Fit 16.00 Steps 17 
Trial 156 Fit 1000.00 Steps 1000 
Trial 157 Fit 37.00 Steps 38 
Trial 158 Fit 16.00 Steps 17 
Trial 159 Fit 1000.00 Steps 1000 
Trial 160 Fit 1000.00 Steps 1000 
Trial 161 Fit 12.00 Steps 13 
Trial 162 Fit 13.00 Steps 14 
Trial 163 Fit 1000.00 Steps 1000 
Trial 164 Fit 1000.00 Steps 1000 
Trial 165 Fit 30.00 Steps 31 
Trial 166 Fit 1000.00 Steps 1000 
Trial 167 Fit 114.00 Steps 115 
Trial 168 Fit 13.00 Steps 14 
Trial 169 Fit 12.00 Steps 13 
Trial 170 Fit 31.00 Steps 32 
Trial 171 Fit 1000.00 Steps 1000 
Trial 172 Fit 1000.00 Steps 1000 
Trial 173 Fit 87.00 Steps 88 
Trial 174 Fit 33.00 Steps 34 
Trial 175 Fit 1000.00 Steps 1000 
Trial 176 Fit 13.00 Steps 14 
Trial 177 Fit 1000.00 Steps 1000 
Trial 178 Fit 15.00 Steps 16 
Trial 179 Fit 60.00 Steps 61 
Trial 180 Fit 14.00 Steps 15 
Trial 181 Fit 12.00 Steps 13 
Trial 182 Fit 15.00 Steps 16 
Trial 183 Fit 14.00 Steps 15 
Trial 184 Fit 11.00 Steps 12 
Trial 185 Fit 11.00 Steps 12 
Trial 186 Fit 34.00 Steps 35 
Trial 187 Fit 1000.00 Steps 1000 
Trial 188 Fit 1000.00 Steps 1000 
Trial 189 Fit 62.00 Steps 63 
Trial 190 Fit 1000.00 Steps 1000 
Trial 191 Fit 1000.00 Steps 1000 
Trial 192 Fit 1000.00 Steps 1000 
Trial 193 Fit 14.00 Steps 15 
Trial 194 Fit 1000.00 Steps 1000 
Trial 195 Fit 17.00 Steps 18 
Trial 196 Fit 31.00 Steps 32 
Trial 197 Fit 11.00 Steps 12 
Trial 198 Fit 1000.00 Steps 1000 
Trial 199 Fit 11.00 Steps 12 
Trial 200 Fit 1000.00 Steps 1000 
Trial 201 Fit 12.00 Steps 13 
Trial 202 Fit 15.00 Steps 16 
Trial 203 Fit 11.00 Steps 12 
Trial 204 Fit 23.00 Steps 24 
Trial 205 Fit 33.00 Steps 34 
Trial 206 Fit 12.00 Steps 13 
Trial 207 Fit 292.00 Steps 293 
Trial 208 Fit 61.00 Steps 62 
Trial 209 Fit 14.00 Steps 15 
Trial 210 Fit 16.00 Steps 17 
Trial 211 Fit 13.00 Steps 14 
Trial 212 Fit 29.00 Steps 30 
Trial 213 Fit 13.00 Steps 14 
Trial 214 Fit 38.00 Steps 39 
Trial 215 Fit 1000.00 Steps 1000 
Trial 216 Fit 30.00 Steps 31 
Trial 217 Fit 15.00 Steps 16 
Trial 218 Fit 1000.00 Steps 1000 
Trial 219 Fit 1000.00 Steps 1000 
Trial 220 Fit 24.00 Steps 25 
Trial 221 Fit 1000.00 Steps 1000 
Trial 222 Fit 14.00 Steps 15 
Trial 223 Fit 1000.00 Steps 1000 
Trial 224 Fit 43.00 Steps 44 
Trial 225 Fit 1000.00 Steps 1000 
Trial 226 Fit 35.00 Steps 36 
Trial 227 Fit 14.00 Steps 15 
Trial 228 Fit 11.00 Steps 12 
Trial 229 Fit 13.00 Steps 14 
Trial 230 Fit 1000.00 Steps 1000 
Trial 231 Fit 1000.00 Steps 1000 
Trial 232 Fit 13.00 Steps 14 
Trial 233 Fit 1000.00 Steps 1000 
Trial 234 Fit 1000.00 Steps 1000 
Trial 235 Fit 12.00 Steps 13 
Trial 236 Fit 11.00 Steps 12 
Trial 237 Fit 1000.00 Steps 1000 
Trial 238 Fit 1000.00 Steps 1000 
Trial 239 Fit 11.00 Steps 12 
Trial 240 Fit 41.00 Steps 42 
Trial 241 Fit 1000.00 Steps 1000 
Trial 242 Fit 306.00 Steps 307 
Trial 243 Fit 1000.00 Steps 1000 
Trial 244 Fit 30.00 Steps 31 
Trial 245 Fit 917.00 Steps 918 
Trial 246 Fit 14.00 Steps 15 
Trial 247 Fit 1000.00 Steps 1000 
Trial 248 Fit 12.00 Steps 13 
Trial 249 Fit 1000.00 Steps 1000 
Trial 250 Fit 12.00 Steps 13 
Trial 251 Fit 137.00 Steps 138 
Trial 252 Fit 35.00 Steps 36 
Trial 253 Fit 11.00 Steps 12 
Trial 254 Fit 13.00 Steps 14 
Trial 255 Fit 50.00 Steps 51 
Trial 256 Fit 33.00 Steps 34 
Trial 257 Fit 1000.00 Steps 1000 
Trial 258 Fit 1000.00 Steps 1000 
Trial 259 Fit 1000.00 Steps 1000 
Trial 260 Fit 13.00 Steps 14 
Trial 261 Fit 11.00 Steps 12 
Trial 262 Fit 38.00 Steps 39 
Trial 263 Fit 29.00 Steps 30 
Trial 264 Fit 16.00 Steps 17 
Trial 265 Fit 1000.00 Steps 1000 
Trial 266 Fit 1000.00 Steps 1000 
Trial 267 Fit 28.00 Steps 29 
Trial 268 Fit 52.00 Steps 53 
Trial 269 Fit 11.00 Steps 12 
Trial 270 Fit 18.00 Steps 19 
Trial 271 Fit 54.00 Steps 55 
Trial 272 Fit 11.00 Steps 12 
Trial 273 Fit 36.00 Steps 37 
Trial 274 Fit 1000.00 Steps 1000 
Trial 275 Fit 14.00 Steps 15 
Trial 276 Fit 1000.00 Steps 1000 
Trial 277 Fit 27.00 Steps 28 
Trial 278 Fit 21.00 Steps 22 
Trial 279 Fit 11.00 Steps 12 
Trial 280 Fit 15.00 Steps 16 
Trial 281 Fit 33.00 Steps 34 
Trial 282 Fit 13.00 Steps 14 
Trial 283 Fit 11.00 Steps 12 
Trial 284 Fit 1000.00 Steps 1000 
Trial 285 Fit 1000.00 Steps 1000 
Trial 286 Fit 13.00 Steps 14 
Trial 287 Fit 1000.00 Steps 1000 
Trial 288 Fit 29.00 Steps 30 
Trial 289 Fit 15.00 Steps 16 
Trial 290 Fit 1000.00 Steps 1000 
Trial 291 Fit 1000.00 Steps 1000 
Trial 292 Fit 10.00 Steps 11 
Trial 293 Fit 16.00 Steps 17 
Trial 294 Fit 29.00 Steps 30 
Trial 295 Fit 1000.00 Steps 1000 
Trial 296 Fit 1000.00 Steps 1000 
Trial 297 Fit 21.00 Steps 22 
Trial 298 Fit 34.00 Steps 35 
Trial 299 Fit 11.00 Steps 12 
Trial 300 Fit 12.00 Steps 13 
Trial 301 Fit 1000.00 Steps 1000 
Trial 302 Fit 1000.00 Steps 1000 
Trial 303 Fit 11.00 Steps 12 
Trial 304 Fit 1000.00 Steps 1000 
Trial 305 Fit 10.00 Steps 11 
Trial 306 Fit 11.00 Steps 12 
Trial 307 Fit 134.00 Steps 135 
Trial 308 Fit 1000.00 Steps 1000 
Trial 309 Fit 32.00 Steps 33 
Trial 310 Fit 101.00 Steps 102 
Trial 311 Fit 33.00 Steps 34 
Trial 312 Fit 29.00 Steps 30 
Trial 313 Fit 11.00 Steps 12 
Trial 314 Fit 1000.00 Steps 1000 
Trial 315 Fit 11.00 Steps 12 
Trial 316 Fit 1000.00 Steps 1000 
