Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestS230.npy
Trial 131 Fit 86.00 Steps 87 
Trial 132 Fit 13.00 Steps 14 
Trial 133 Fit 11.00 Steps 12 
Trial 134 Fit 94.00 Steps 95 
Trial 135 Fit 17.00 Steps 18 
Trial 136 Fit 11.00 Steps 12 
Trial 137 Fit 12.00 Steps 13 
Trial 138 Fit 1000.00 Steps 1000 
Trial 139 Fit 35.00 Steps 36 
Trial 140 Fit 185.00 Steps 186 
Trial 141 Fit 14.00 Steps 15 
Trial 142 Fit 13.00 Steps 14 
Trial 143 Fit 13.00 Steps 14 
Trial 144 Fit 37.00 Steps 38 
Trial 145 Fit 14.00 Steps 15 
Trial 146 Fit 1000.00 Steps 1000 
Trial 147 Fit 1000.00 Steps 1000 
Trial 148 Fit 1000.00 Steps 1000 
Trial 149 Fit 39.00 Steps 40 
Trial 150 Fit 37.00 Steps 38 
Trial 151 Fit 103.00 Steps 104 
Trial 152 Fit 13.00 Steps 14 
Trial 153 Fit 30.00 Steps 31 
Trial 154 Fit 37.00 Steps 38 
Trial 155 Fit 17.00 Steps 18 
Trial 156 Fit 1000.00 Steps 1000 
Trial 157 Fit 36.00 Steps 37 
Trial 158 Fit 16.00 Steps 17 
Trial 159 Fit 1000.00 Steps 1000 
Trial 160 Fit 1000.00 Steps 1000 
Trial 161 Fit 12.00 Steps 13 
Trial 162 Fit 13.00 Steps 14 
Trial 163 Fit 1000.00 Steps 1000 
Trial 164 Fit 1000.00 Steps 1000 
Trial 165 Fit 29.00 Steps 30 
Trial 166 Fit 1000.00 Steps 1000 
Trial 167 Fit 297.00 Steps 298 
Trial 168 Fit 13.00 Steps 14 
Trial 169 Fit 12.00 Steps 13 
Trial 170 Fit 34.00 Steps 35 
Trial 171 Fit 1000.00 Steps 1000 
Trial 172 Fit 467.00 Steps 468 
Trial 173 Fit 91.00 Steps 92 
Trial 174 Fit 33.00 Steps 34 
Trial 175 Fit 1000.00 Steps 1000 
Trial 176 Fit 14.00 Steps 15 
Trial 177 Fit 1000.00 Steps 1000 
Trial 178 Fit 15.00 Steps 16 
Trial 179 Fit 65.00 Steps 66 
Trial 180 Fit 13.00 Steps 14 
Trial 181 Fit 12.00 Steps 13 
Trial 182 Fit 15.00 Steps 16 
Trial 183 Fit 14.00 Steps 15 
Trial 184 Fit 11.00 Steps 12 
Trial 185 Fit 11.00 Steps 12 
Trial 186 Fit 38.00 Steps 39 
Trial 187 Fit 860.00 Steps 861 
Trial 188 Fit 232.00 Steps 233 
Trial 189 Fit 65.00 Steps 66 
Trial 190 Fit 1000.00 Steps 1000 
Trial 191 Fit 1000.00 Steps 1000 
Trial 192 Fit 1000.00 Steps 1000 
Trial 193 Fit 14.00 Steps 15 
Trial 194 Fit 1000.00 Steps 1000 
Trial 195 Fit 17.00 Steps 18 
Trial 196 Fit 34.00 Steps 35 
Trial 197 Fit 11.00 Steps 12 
Trial 198 Fit 1000.00 Steps 1000 
Trial 199 Fit 11.00 Steps 12 
Trial 200 Fit 1000.00 Steps 1000 
Trial 201 Fit 12.00 Steps 13 
Trial 202 Fit 15.00 Steps 16 
Trial 203 Fit 11.00 Steps 12 
Trial 204 Fit 23.00 Steps 24 
Trial 205 Fit 34.00 Steps 35 
Trial 206 Fit 12.00 Steps 13 
Trial 207 Fit 1000.00 Steps 1000 
Trial 208 Fit 233.00 Steps 234 
Trial 209 Fit 14.00 Steps 15 
Trial 210 Fit 16.00 Steps 17 
Trial 211 Fit 13.00 Steps 14 
Trial 212 Fit 28.00 Steps 29 
Trial 213 Fit 14.00 Steps 15 
Trial 214 Fit 39.00 Steps 40 
Trial 215 Fit 1000.00 Steps 1000 
Trial 216 Fit 30.00 Steps 31 
Trial 217 Fit 15.00 Steps 16 
Trial 218 Fit 1000.00 Steps 1000 
Trial 219 Fit 1000.00 Steps 1000 
